id,cluster
3J10NHRHpTDVSkQfS7CH0P ,29
31HV43Xx06mXCrHsoGb5eJ ,8
0EN1JterRnUpn7WAavQHEZ ,18
1L9m2l2lhXgQ3GwmmCx3OK ,18
4hYcY2965SAQsfmynbezhf ,38
6nndigGeN6q17URSgwA7ks ,32
5J9fKbYgl92hyojPSOjhv0 ,4
3SuUswNWXLmRkrLGfGuXPb ,29
5yT5gTAWIoF97BiI5Ed2h3 ,1
5spTl29nFUNJaWVMmMv5Bd ,25
73lpcT3tY4BLcqpJPj08BU ,18
6z1VtU0MCGo666iKiajfhp ,25
2dDDAZPMPvlHy3FyEzX4a3 ,19
2wuI4Tomu6lYZZ80vDLeSB ,20
5macnqEJ83AafPe8LRKrjx ,39
2QD3d1Jmro7nBLDoABJ5AF ,6
78yECvrHmGmhu2JPLtEa3J ,8
2SU21YLdwyTnqJpS7Jc3lD ,26
1sXUWdKx03aP9Gmzft58rt ,25
1moLbyHuk25GO18QxdBaMj ,3
5YwhqHBJStMbGdlm334WiZ ,20
0vZx2ZvuPJIwn8FjYNu3S8 ,30
2ExePm1EBdSJkr4Y4Nc50z ,34
2GMNuUpZBpoOQa3yxHt8Uh ,6
0LgySKpH4Q72fpV36nwEbs ,18
1YJkEWW96uWVf7GmQ4d0eX ,34
5A73Nnju5DCi8EV6wPvI5H ,9
1ibEFpu4qJXqAbDP5aZREZ ,0
1moaCI8Fdt0uSyLu6gJpw7 ,5
5PbVagt4UTYnsQTA2kDLmF ,33
0FmuoMK8ouwdPJfkMYaYhu ,38
6nUXH6o7OXDVykgwAtIIFU ,29
6ROnPObODcFDalcQ3YJ6eW ,8
2wx3h4XP6MoqcLBfKdcvuy ,18
5ZbJR1AfdOsvsYNuCvgqKX ,13
0QEG3NGmWatNOIAVxudQfd ,1
0b2oQtb1dbZshyW2pP2UtT ,39
3cY2nHVVX2ZER1ttxGzLav ,20
5gwRTuiLYCkpGtbRSGHVkl ,20
2X9fsxb6O6bYEopJYmUbNC ,7
1WfHZKUkTwKQ57ukwd21PA ,8
2I2bYUZWHT6pwKFgSNNlAy ,1
6lq7ctWCEzam1XLorZ4mT0 ,1
1IlKCe3Ad6q10lksNWBNQX ,1
6P44JxYETAAYfwqSMrpCiu ,0
7aZjExRehKGrH6vZ3MNXlq ,20
04b2tIzjw9plyG4UHp9kEJ ,16
